键值(key),翻译(msgstr)
IDS_PASB808_FULL,北卡罗来纳 炫彩
IDS_PASB810,蒙大拿P
IDS_PASB810_FULL,蒙大拿P
IDS_PASB818,阿拉巴马 (黑)
IDS_PASB818_FULL,阿拉巴马 (黑)
IDS_PASB820,BA 蒙大拿
IDS_PASB820_FULL,BA 蒙大拿
IDS_PASB889,AL 基尔萨奇
IDS_PASB889_FULL,AL 基尔萨奇
IDS_PASB891,缅因 +
IDS_PASB891_FULL,缅因 +
IDS_PASB899,田纳西
IDS_PASB899_FULL,田纳西
IDS_PASB908,凯珀
IDS_PASB908_FULL,凯珀
IDS_PASB909,鸟鸣
IDS_PASB909_FULL,鸟鸣
IDS_PASB910,康涅狄格
IDS_PASB910_FULL,康涅狄格
IDS_PASB917,[蒙大拿]
IDS_PASB917_FULL,[蒙大拿]
IDS_PASB918,AL 马萨诸塞
IDS_PASB918_FULL,AL 马萨诸塞
IDS_PASB919,依阿华 2
IDS_PASB919_FULL,依阿华 2
IDS_PASB920,蒙大拿 2
IDS_PASB920_FULL,蒙大拿 2
IDS_PASB930,罗德岛 (黑)
IDS_PASB930_FULL,罗德岛 (黑)
IDS_PASB940,威斯康星 (金)
IDS_PASB940_FULL,威斯康星 (金)
IDS_PASB990,犹他
IDS_PASB990_FULL,犹他
IDS_PASB997,科罗拉多 2
IDS_PASB997_FULL,科罗拉多 2
IDS_PASB998,北卡罗来纳 2
IDS_PASB998_FULL,北卡罗来纳 2
IDS_PASC001,伊利湖
IDS_PASC001_FULL,伊利湖
IDS_PASC002,切斯特
IDS_PASC002_FULL,切斯特
IDS_PASC003,奥尔巴尼
IDS_PASC003_FULL,奥尔巴尼
IDS_PASC004,圣路易斯
IDS_PASC004_FULL,圣路易斯
IDS_PASC005,奥马哈
IDS_PASC005_FULL,奥马哈
IDS_PASC006,亚特兰大
IDS_PASC006_FULL,亚特兰大
IDS_PASC007,克利夫兰
IDS_PASC007_FULL,克利夫兰 (< 31.05.2018)
IDS_PASC011,杰克逊维尔
IDS_PASC011_FULL,杰克逊维尔
IDS_PASC012,彭萨科拉
IDS_PASC012_FULL,彭萨科拉 (< 31.05.2018)
IDS_PASC014,新奥尔良
IDS_PASC014_FULL,新奥尔良 (< 31.05.2018)
IDS_PASC016,伍斯特
IDS_PASC016_FULL,伍斯特
IDS_PASC017,巴尔的摩
IDS_PASC017_FULL,巴尔的摩 (< 31.05.2018)
IDS_PASC019,水牛城
IDS_PASC019_FULL,水牛城
IDS_PASC020,得梅因
IDS_PASC020_FULL,得梅因
IDS_PASC024,凤凰城
IDS_PASC024_FULL,凤凰城
IDS_PASC039,彭萨克拉(1930)
IDS_PASC039_FULL,彭萨克拉(1930)
IDS_PASC044,马布尔黑德
IDS_PASC044_FULL,马布尔黑德
IDS_PASC045,马布尔黑德（L）
IDS_PASC045_FULL,马布尔黑德（L）
IDS_PASC106,彭萨科拉
IDS_PASC106_FULL,彭萨科拉
IDS_PASC107,新奥尔良
IDS_PASC107_FULL,新奥尔良
IDS_PASC108,巴尔的摩
IDS_PASC108_FULL,巴尔的摩
IDS_PASC109,水牛城
IDS_PASC109_FULL,水牛城
IDS_PASC111,安纳波利斯
IDS_PASC111_FULL,安纳波利斯
IDS_PASC206,达拉斯
IDS_PASC206_FULL,达拉斯
IDS_PASC207,海伦娜
IDS_PASC207_FULL,海伦娜
IDS_PASC208,克利夫兰
IDS_PASC208_FULL,克利夫兰
IDS_PASC209,西雅图
IDS_PASC209_FULL,西雅图
IDS_PASC210,伍斯特
IDS_PASC210_FULL,伍斯特
IDS_PASC503,查尔斯顿
IDS_PASC503_FULL,查尔斯顿
IDS_PASC505,Rattlehead
IDS_PASC505_FULL,Rattlehead
IDS_PASC507,印第安纳波利斯
IDS_PASC507_FULL,印第安纳波利斯
IDS_PASC508,威奇塔
IDS_PASC508_FULL,威奇塔
IDS_PASC509,瓦列霍
IDS_PASC509_FULL,瓦列霍
IDS_PASC510,阿拉斯加
IDS_PASC510_FULL,阿拉斯加
IDS_PASC518,安克雷奇
IDS_PASC518_FULL,安克雷奇
IDS_PASC519,塔尔萨
IDS_PASC519_FULL,塔尔萨
IDS_PASC528,国会
IDS_PASC528_FULL,国会
IDS_PASC538,罗切斯特
IDS_PASC538_FULL,罗切斯特
IDS_PASC548,圣地亚哥
IDS_PASC548_FULL,圣地亚哥
IDS_PASC587,亚特兰大 (黑)
IDS_PASC587_FULL,亚特兰大 (黑)
IDS_PASC597,博伊西
IDS_PASC597_FULL,博伊西
IDS_PASC599,阿拉斯加 (黑)
IDS_PASC599_FULL,阿拉斯加 (黑)
IDS_PASC610,波多黎各
IDS_PASC610_FULL,波多黎各
IDS_PASC707,弗林特
IDS_PASC707_FULL,弗林特
IDS_PASC708,布里奇波特
IDS_PASC708_FULL,布里奇波特
IDS_PASC710,塞勒姆
IDS_PASC710_FULL,塞勒姆
IDS_PASC718,AL 蒙彼利埃
IDS_PASC718_FULL,AL 蒙彼利埃
IDS_PASC719,剑桥
IDS_PASC719_FULL,剑桥
IDS_PASC720,夏威夷
IDS_PASC720_FULL,夏威夷
IDS_PASC728,保卫者
IDS_PASC728_FULL,保卫者
IDS_PASC729,沃斯堡
IDS_PASC729_FULL,沃斯堡
IDS_PASC802,西马隆
IDS_PASC803,西马隆
IDS_PASC804,伊利湖
IDS_PASC805,伊利湖
IDS_PASC810,奥斯汀
IDS_PASC810_FULL,奥斯汀
IDS_PASC891,杰克逊维尔 +
IDS_PASC891_FULL,杰克逊维尔 +
IDS_PASC909,沃斯堡 (金)
IDS_PASC909_FULL,沃斯堡 (金)
IDS_PASC910,波多黎各 (黑)
IDS_PASC910_FULL,波多黎各 (黑)
IDS_PASC920,夏威夷 (金)
IDS_PASC920_FULL,夏威夷 (金)
IDS_PASC998,[Cleveland]
IDS_PASC998_FULL,[Cleveland]
IDS_PASD002,桑普森
IDS_PASD002_FULL,桑普森
IDS_PASD005,法拉格特
IDS_PASD005_FULL,法拉格特
IDS_PASD006,马汉
IDS_PASD006_FULL,马汉
IDS_PASD008,本森
IDS_PASD008_FULL,本森
IDS_PASD013,基林
IDS_PASD013_FULL,基林
IDS_PASD014,尼古拉斯
IDS_PASD014_FULL,尼古拉斯
IDS_PASD019,克莱姆森
IDS_PASD019_FULL,克莱姆森
IDS_PASD021,弗莱彻
IDS_PASD021_FULL,弗莱彻
IDS_PASD027,维克斯
IDS_PASD027_FULL,维克斯
IDS_PASD029,西姆斯
IDS_PASD029_FULL,西姆斯
IDS_PASD037,休斯
IDS_PASD037_FULL,休斯
IDS_PASD038,奥斯本
IDS_PASD038_FULL,奥斯本
IDS_PASD039,克里斯托弗
IDS_PASD039_FULL,克里斯托弗
IDS_PASD040,布洛士
IDS_PASD040_FULL,布洛士
IDS_PASD111,约书亚·汉弗莱斯
IDS_PASD111_FULL,约书亚·汉弗莱斯
IDS_PASD502,史密斯
IDS_PASD502_FULL,史密斯
IDS_PASD505,希尔
IDS_PASD505_FULL,希尔
IDS_PASD506,莫纳根
IDS_PASD506_FULL,莫纳根
IDS_PASD508,基德
IDS_PASD508_FULL,基德
IDS_PASD509,贝纳姆
IDS_PASD509_FULL,贝纳姆
IDS_PASD510,萨默斯
IDS_PASD510_FULL,萨默斯
IDS_PASD519,哈尔福德
IDS_PASD519_FULL,哈尔福德
IDS_PASD529,布莱克 (黑)
IDS_PASD529_FULL,布莱克 (黑)
IDS_PASD597,西姆斯 (黑)
IDS_PASD597_FULL,西姆斯 (黑)
IDS_PASD610,福里斯特·舍曼
IDS_PASD610_FULL,福里斯特·舍曼
IDS_PASD704,DD-214
IDS_PASD704_FULL,DD-214
IDS_PASD709,布莱克
IDS_PASD709_FULL,布莱克
IDS_PASD710,拉菲
IDS_PASD710_FULL,拉菲
IDS_PASD719,约翰斯顿
IDS_PASD719_FULL,约翰斯顿
IDS_PASD720,赫尔
IDS_PASD720_FULL,赫尔
IDS_PASD801,桑普森
IDS_PASD810,基林P
IDS_PASD810_FULL,基林P
IDS_PASD819,战斗约翰尼
IDS_PASD819_FULL,战斗约翰尼
IDS_PASD891,约书亚·汉弗莱斯 +
IDS_PASD891_FULL,约书亚·汉弗莱斯 +
IDS_PASD899,弗兰克·弗莱德
IDS_PASD899_FULL,弗兰克·弗莱德
IDS_PASD913,[基林]
IDS_PASD913_FULL,[基林]
IDS_PASS106,抹香鲸 (旧)
IDS_PASS106_FULL,抹香鲸 (< 04.10.2022)
IDS_PASS108,鲑鱼 (旧)
IDS_PASS108_FULL,鲑鱼 (< 04.10.2022)
IDS_PASS110,巴劳鱵 (旧)
IDS_PASS110_FULL,巴劳鱵 (< 04.10.2022)
IDS_PASS206,抹香鲸
IDS_PASS206_FULL,抹香鲸
IDS_PASS208,鲑鱼
IDS_PASS208_FULL,鲑鱼
IDS_PASS210,巴劳鱵
IDS_PASS210_FULL,巴劳鱵
IDS_PASS510,小鲨鱼
IDS_PASS510_FULL,小鲨鱼
IDS_PASS710,射水鱼
IDS_PASS710_FULL,射水鱼
IDS_PASS910,巴劳鱵 2
IDS_PASS910_FULL,巴劳鱵 2
IDS_PASX001,西马隆
IDS_PASX001_FULL,西马隆
IDS_PASX003,利伯蒂
IDS_PASX004,阿特拉斯节点
IDS_PASX005,圣克莱尔
IDS_PASX005_FULL,大东方号
IDS_PASX006,西马隆
IDS_PASX799,独角鲸
IDS_PASX815,博格
IDS_PASX904,西马隆测试
IDS_PBSA106,暴怒
IDS_PBSA106_FULL,暴怒
IDS_PBSA108,怨仇
IDS_PBSA108_FULL,怨仇
IDS_PBSA111,老鹰
IDS_PBSA111_FULL,老鹰
IDS_PBSA204,竞技神
IDS_PBSA204_FULL,竞技神
IDS_PBSA210,大胆
IDS_PBSA210_FULL,大胆
IDS_PBSA508,不挠
IDS_PBSA508_FULL,不挠
IDS_PBSA510,马耳他
IDS_PBSA510_FULL,马耳他
IDS_PBSA518,皇家方舟
IDS_PBSA518_FULL,皇家方舟
IDS_PBSA528,巨像
IDS_PBSA528_FULL,巨像
IDS_PBSA710,海洋
IDS_PBSA710_FULL,海洋
IDS_PBSA718,忒修斯
IDS_PBSA718_FULL,忒修斯
IDS_PBSA910,[大胆]
IDS_PBSA910_FULL,[大胆]
IDS_PBSB002,厌战
IDS_PBSB002_FULL,厌战
IDS_PBSB103,柏勒罗丰
IDS_PBSB103_FULL,柏勒罗丰
IDS_PBSB104,俄里翁
IDS_PBSB104_FULL,俄里翁
IDS_PBSB105,铁公爵
IDS_PBSB105_FULL,铁公爵
IDS_PBSB106,伊丽莎白女王
IDS_PBSB106_FULL,伊丽莎白女王
IDS_PBSB107,英王乔治五世
IDS_PBSB107_FULL,英王乔治五世
IDS_PBSB108,君主
IDS_PBSB108_FULL,君主
IDS_PBSB109,狮级
IDS_PBSB109_FULL,狮级
IDS_PBSB110,征服者
IDS_PBSB110_FULL,征服者
IDS_PBSB111,蹂躏
IDS_PBSB111_FULL,蹂躏
IDS_PBSB203,不倦
IDS_PBSB203_FULL,不倦
IDS_PBSB204,玛丽王后
IDS_PBSB204_FULL,玛丽王后
IDS_PBSB205,虎级
IDS_PBSB205_FULL,虎级
IDS_PBSB206,声望
IDS_PBSB206_FULL,声望
IDS_PBSB207,鲁克
IDS_PBSB207_FULL,鲁克
IDS_PBSB208,霍克
IDS_PBSB208_FULL,霍克
IDS_PBSB209,邓肯
IDS_PBSB209_FULL,邓肯
IDS_PBSB210,圣文森特
IDS_PBSB210_FULL,圣文森特
IDS_PBSB503,无畏
IDS_PBSB503_FULL,无畏
IDS_PBSB505,阿金库尔
IDS_PBSB505_FULL,阿金库尔
IDS_PBSB507,胡德
IDS_PBSB507_FULL,胡德
IDS_PBSB508,前卫
IDS_PBSB508_FULL,前卫
IDS_PBSB509,马尔博罗
IDS_PBSB509_FULL,马尔博罗
IDS_PBSB510,雷神
IDS_PBSB510_FULL,雷神
IDS_PBSB517,纳尔逊
IDS_PBSB517_FULL,纳尔逊
IDS_PBSB526,反击
IDS_PBSB526_FULL,反击
IDS_PBSB527,约克公爵
IDS_PBSB527_FULL,约克公爵
IDS_PBSB536,反击 (黑)
IDS_PBSB536_FULL,反击 (黑)
IDS_PBSB537,科林伍德
IDS_PBSB537_FULL,科林伍德
IDS_PBSB547,声望 '44
IDS_PBSB547_FULL,声望 '44
IDS_PBSB609,绯红雷霆
IDS_PBSB609_FULL,绯红雷霆
IDS_PBSB610,无比
IDS_PBSB610_FULL,无比
IDS_PBSB708,威尔士亲王
IDS_PBSB708_FULL,威尔士亲王
IDS_PBSB717,罗德尼
IDS_PBSB717_FULL,罗德尼
IDS_PBSB727,勃朗特公爵
IDS_PBSB727_FULL,勃朗特公爵
IDS_PBSB737,君权
IDS_PBSB737_FULL,君权
IDS_PBSB747,达努
IDS_PBSB747_FULL,达努
IDS_PBSB810,坎伯兰
IDS_PBSB810_FULL,坎伯兰
IDS_PBSB910,[征服者]
IDS_PBSB910_FULL,[征服者]
IDS_PBSB911,征服者
IDS_PBSB911_FULL,征服者
IDS_PBSB920,征服者 炫彩
IDS_PBSB920_FULL,征服者 炫彩
IDS_PBSB998,圣劳伦斯
IDS_PBSB998_FULL,圣劳伦斯
IDS_PBSC020,蒙茅斯
IDS_PBSC020_FULL,蒙茅斯
IDS_PBSC101,黑天鹅
IDS_PBSC101_FULL,黑天鹅
IDS_PBSC102,韦茅斯
IDS_PBSC102_FULL,韦茅斯
IDS_PBSC103,卡利登
IDS_PBSC103_FULL,卡利登
IDS_PBSC104,达娜厄
IDS_PBSC104_FULL,达娜厄
IDS_PBSC105,翡翠
IDS_PBSC105_FULL,翡翠
IDS_PBSC106,利安得
IDS_PBSC106_FULL,利安得
IDS_PBSC107,斐济
IDS_PBSC107_FULL,斐济
IDS_PBSC108,爱丁堡
IDS_PBSC108_FULL,爱丁堡
IDS_PBSC109,涅普顿
IDS_PBSC109_FULL,涅普顿
IDS_PBSC110,米诺陶
IDS_PBSC110_FULL,米诺陶
IDS_PBSC111,埃德加
IDS_PBSC111_FULL,埃德加
IDS_PBSC205,霍金斯
IDS_PBSC205_FULL,霍金斯
IDS_PBSC206,德文郡
IDS_PBSC206_FULL,德文郡
IDS_PBSC207,萨里
IDS_PBSC207_FULL,萨里
IDS_PBSC208,阿尔伯马尔
IDS_PBSC208_FULL,阿尔伯马尔
IDS_PBSC209,德雷克
IDS_PBSC209_FULL,德雷克
IDS_PBSC210,歌利亚
IDS_PBSC210_FULL,歌利亚
IDS_PBSC505,埃克塞特
IDS_PBSC505_FULL,埃克塞特
IDS_PBSC507,贝尔法斯特
IDS_PBSC507_FULL,贝尔法斯特
IDS_PBSC508,柴郡
IDS_PBSC508_FULL,柴郡
IDS_PBSC510,普利茅斯
IDS_PBSC510_FULL,普利茅斯
IDS_PBSC516,伦敦
IDS_PBSC516_FULL,伦敦
IDS_PBSC518,虎 '59
IDS_PBSC518_FULL,虎 '59
IDS_PBSC526,黛朵
IDS_PBSC526_FULL,黛朵
IDS_PBSC528,贝尔法斯特43
IDS_PBSC528_FULL,贝尔法斯特43
IDS_PBSC538,汉普郡
IDS_PBSC538_FULL,汉普郡
IDS_PBSC548,诺丁汉
IDS_PBSC548_FULL,诺丁汉
IDS_PBSC558,AL 柴郡
IDS_PBSC558_FULL,AL 柴郡
IDS_PBSC610,直布罗陀
IDS_PBSC610_FULL,直布罗陀
IDS_PBSC707,博因
IDS_PBSC707_FULL,博因
IDS_PBSC708,思南
IDS_PBSC708_FULL,思南
IDS_PBSC716,俄里翁 '44
IDS_PBSC716_FULL,俄里翁 '44
IDS_PBSC718,厄恩
IDS_PBSC718_FULL,厄恩
IDS_PBSC719,阿伯丁
IDS_PBSC719_FULL,阿伯丁
IDS_PBSC810,防御
IDS_PBSC810_FULL,防御
IDS_PBSC888,星际爱丁堡
IDS_PBSC888_FULL,星际爱丁堡
IDS_PBSC909,诅咒之牙
IDS_PBSC909_FULL,诅咒之牙
IDS_PBSC910,独眼巨人
IDS_PBSC910_FULL,独眼巨人
IDS_PBSC920,恐噬
IDS_PBSC920_FULL,恐噬
IDS_PBSD102,美狄亚
IDS_PBSD102_FULL,美狄亚
IDS_PBSD103,瓦尔基里
IDS_PBSD103_FULL,瓦尔基里
IDS_PBSD104,清醒
IDS_PBSD104_FULL,清醒
IDS_PBSD105,阿卡司塔
IDS_PBSD105_FULL,阿卡司塔
IDS_PBSD106,伊卡洛斯
IDS_PBSD106_FULL,伊卡洛斯
IDS_PBSD107,杰维斯
IDS_PBSD107_FULL,杰维斯
IDS_PBSD108,雷电
IDS_PBSD108_FULL,雷电
IDS_PBSD109,日德兰
IDS_PBSD109_FULL,日德兰
IDS_PBSD110,果敢
IDS_PBSD110_FULL,果敢
IDS_PBSD503,坎贝尔敦
IDS_PBSD503_FULL,坎贝尔敦
IDS_PBSD506,勇敢
IDS_PBSD506_FULL,勇敢
IDS_PBSD510,德鲁伊
IDS_PBSD510_FULL,德鲁伊
IDS_PBSD517,哥萨克
IDS_PBSD517_FULL,哥萨克
IDS_PBSD519,索姆河
IDS_PBSD519_FULL,索姆河
IDS_PBSD598,哥萨克 (黑)
IDS_PBSD598_FULL,哥萨克 (黑)
IDS_PBSD605,安东尼
IDS_PBSD605_FULL,安东尼
IDS_PBSD717,朱庇特 '42
IDS_PBSD717_FULL,朱庇特 '42
IDS_PBSD718,爱斯基摩
IDS_PBSD718_FULL,爱斯基摩
IDS_PBSD719,巴夫勒尔
IDS_PBSD719_FULL,巴夫勒尔
IDS_PBSS106,温蒂尼
IDS_PBSS106_FULL,温蒂尼
IDS_PBSS108,坚定
IDS_PBSS108_FULL,坚定
IDS_PBSS110,连枷
IDS_PBSS110_FULL,连枷
IDS_PBSS508,联盟
IDS_PBSS508_FULL,联盟
IDS_PBSS710,海豹
IDS_PBSS710_FULL,海豹
IDS_PBSS910,海豹人
IDS_PBSS910_FULL,海豹人
IDS_PFSA506,贝阿恩
IDS_PFSA506_FULL,贝阿恩
IDS_PFSB103,杜伦尼
IDS_PFSB103_FULL,杜伦尼
IDS_PFSB104,孤拔
IDS_PFSB104_FULL,孤拔
IDS_PFSB105,布列塔尼
IDS_PFSB105_FULL,布列塔尼
IDS_PFSB106,诺曼底
IDS_PFSB106_FULL,诺曼底
IDS_PFSB107,里昂
IDS_PFSB107_FULL,里昂
IDS_PFSB108,黎塞留
IDS_PFSB108_FULL,黎塞留
IDS_PFSB109,阿尔萨斯
IDS_PFSB109_FULL,阿尔萨斯
IDS_PFSB110,共和
IDS_PFSB110_FULL,共和
IDS_PFSB111,祖国
IDS_PFSB111_FULL,祖国
IDS_PFSB506,敦刻尔克
IDS_PFSB506_FULL,敦刻尔克
IDS_PFSB507,斯特拉斯堡
IDS_PFSB507_FULL,斯特拉斯堡
IDS_PFSB508,加斯科涅
IDS_PFSB508_FULL,加斯科涅
IDS_PFSB510,勃艮第
IDS_PFSB510_FULL,勃艮第
IDS_PFSB518,让·巴尔
IDS_PFSB518_FULL,让·巴尔
IDS_PFSB528,香槟
IDS_PFSB528_FULL,香槟
IDS_PFSB538,佛兰德
IDS_PFSB538_FULL,佛兰德
IDS_PFSB548,皮卡第
IDS_PFSB548_FULL,皮卡第
IDS_PFSB596,敦刻尔克 (黑)
IDS_PFSB596_FULL,敦刻尔克 (黑)
IDS_PFSB599,让·巴尔 (黑)
IDS_PFSB599_FULL,让·巴尔 (黑)
IDS_PFSB709,鲁西永
IDS_PFSB709_FULL,鲁西永
IDS_PFSB898,[黎塞留]
IDS_PFSB898_FULL,[黎塞留]
IDS_PFSB908,AL 黎塞留
IDS_PFSB908_FULL,AL 黎塞留
IDS_PFSB909,暗黑流浪者
IDS_PFSB909_FULL,暗黑流浪者
IDS_PFSC101,布甘维尔
IDS_PFSC101_FULL,布甘维尔
IDS_PFSC102,尤里安
IDS_PFSC102_FULL,尤里安-格拉维
IDS_PFSC103,弗利昂
IDS_PFSC103_FULL,弗利昂
IDS_PFSC104,迪盖·特鲁安
IDS_PFSC104_FULL,迪盖·特鲁安
IDS_PFSC105,白劳易
IDS_PFSC105_FULL,白劳易
IDS_PFSC106,拉·加利索尼埃
IDS_PFSC106_FULL,拉·加利索尼埃
IDS_PFSC107,阿尔及利亚
IDS_PFSC107_FULL,阿尔及利亚
IDS_PFSC108,查理·马特
IDS_PFSC108_FULL,查理·马特
IDS_PFSC109,路易九世
IDS_PFSC109_FULL,路易九世
IDS_PFSC110,亨利四世
IDS_PFSC110_FULL,亨利四世
IDS_PFSC111,孔代
IDS_PFSC111_FULL,孔代
IDS_PFSC208,瑟堡
IDS_PFSC208_FULL,瑟堡
IDS_PFSC209,布雷斯特
IDS_PFSC209_FULL,布雷斯特
IDS_PFSC210,马赛
IDS_PFSC210_FULL,马赛
IDS_PFSC506,德·格拉斯
IDS_PFSC506_FULL,德·格拉斯
IDS_PFSC507,土伦
IDS_PFSC507_FULL,土伦
IDS_PFSC508,贝亚德
IDS_PFSC508_FULL,贝亚德
IDS_PFSC509,卡诺
IDS_PFSC509_FULL,卡诺
IDS_PFSC510,科尔贝尔
IDS_PFSC510_FULL,科尔贝尔
IDS_PFSC516,杜布雷
IDS_PFSC516_FULL,杜布雷
IDS_PFSC518,让·巴尔
IDS_PFSC518_FULL,让·巴尔
IDS_PFSC708,梅斯
IDS_PFSC708_FULL,梅斯
IDS_PFSC710,布伦努斯
IDS_PFSC710_FULL,布伦努斯
IDS_PFSC716,蒙卡尔姆
IDS_PFSC716_FULL,蒙卡尔姆
IDS_PFSC719,勒阿弗尔
IDS_PFSC719_FULL,勒阿弗尔
IDS_PFSC720,拉图什-特雷维尔
IDS_PFSC720_FULL,拉图什-特雷维尔
IDS_PFSC730,拉蒂格上将
IDS_PFSC730_FULL,拉蒂格上将
IDS_PFSC810,布伦努斯
IDS_PFSC810_FULL,布伦努斯
IDS_PFSC819,BA 乌塔那匹兹姆
IDS_PFSC819_FULL,BA 乌塔那匹兹姆之船
IDS_PFSC896,[拉·加利索尼埃]
IDS_PFSC896_FULL,[拉·加利索尼埃]
IDS_PFSD010,卡萨尔
IDS_PFSD010_FULL,卡萨尔
IDS_PFSD015,机敏
IDS_PFSD015_FULL,机敏
IDS_PFSD016,杜沙福
IDS_PFSD016_FULL,杜沙福
IDS_PFSD017,大胆
IDS_PFSD017_FULL,大胆
IDS_PFSD018,冒险家
IDS_PFSD018_FULL,冒险家
IDS_PFSD019,暴风雨
IDS_PFSD019_FULL,暴风雨
IDS_PFSD102,加博尔德海军少尉
IDS_PFSD102_FULL,加博尔德海军少尉
IDS_PFSD103,燧发枪兵
IDS_PFSD103_FULL,燧发枪兵
IDS_PFSD104,狂风
IDS_PFSD104_FULL,狂风
IDS_PFSD105,美洲豹
IDS_PFSD105_FULL,美洲豹
