键值(key),翻译(msgstr)
IDS_PASB013,Arkansas B
IDS_PASB013_FULL,Arkansas Beta
IDS_PASB017,Montana
IDS_PASB017_FULL,Montana
IDS_PASB018,Iowa
IDS_PASB018_FULL,Iowa
IDS_PASB034,New Mexico
IDS_PASB034_FULL,New Mexico
IDS_PASB108,Kansas
IDS_PASB108_FULL,Kansas
IDS_PASB109,Minnesota
IDS_PASB109_FULL,Minnesota
IDS_PASB110,Vermont
IDS_PASB110_FULL,Vermont
IDS_PASB111,Maine
IDS_PASB111_FULL,Maine
IDS_PASB208,Nebraska
IDS_PASB208_FULL,Nebraska
IDS_PASB209,Delaware
IDS_PASB209_FULL,Delaware
IDS_PASB210,Louisiana
IDS_PASB210_FULL,Louisiana
IDS_PASB505,Oklahoma
IDS_PASB505_FULL,Oklahoma
IDS_PASB506,Arizona
IDS_PASB506_FULL,Arizona
IDS_PASB507,W. Virginia '41
IDS_PASB507_FULL,W. Virginia '41
IDS_PASB508,Alabama
IDS_PASB508_FULL,Alabama
IDS_PASB509,Missouri
IDS_PASB509_FULL,Missouri
IDS_PASB510,Ohio
IDS_PASB510_FULL,Ohio
IDS_PASB517,Florida
IDS_PASB517_FULL,Florida
IDS_PASB518,Massachusetts
IDS_PASB518_FULL,Massachusetts
IDS_PASB519,Kearsarge
IDS_PASB519_FULL,Kearsarge
IDS_PASB527,W. Virginia '44
IDS_PASB527_FULL,West Virginia '44
IDS_PASB528,Alabama VL
IDS_PASB528_FULL,Alabama VL
IDS_PASB538,Constellation
IDS_PASB538_FULL,Constellation
IDS_PASB539,Illinois
IDS_PASB539_FULL,Illinois
IDS_PASB598,Massachusetts B
IDS_PASB598_FULL,Massachusetts B
IDS_PASB599,Kearsarge B
IDS_PASB599_FULL,Kearsarge B
IDS_PASB705,Texas
IDS_PASB705_FULL,Texas
IDS_PASB707,California
IDS_PASB707_FULL,California
IDS_PASB708,Alabama ST
IDS_PASB708_FULL,Alabama ST
IDS_PASB710,Oregon
IDS_PASB710_FULL,Oregon
IDS_PASB718,Tennessee
IDS_PASB718_FULL,Tennessee
IDS_PASB719,Indiana
IDS_PASB719_FULL,Indiana
IDS_PASB720,Rhode Island
IDS_PASB720_FULL,Rhode Island
IDS_PASB729,Georgia
IDS_PASB729_FULL,Georgia
IDS_PASB730,Wisconsin
IDS_PASB730_FULL,Wisconsin
IDS_PASB801,South Carolina
IDS_PASB802,Michigan
IDS_PASB808,N. Carolina CLR
IDS_PASB808_FULL,North Carolina CLR
IDS_PASB810,Montana P
IDS_PASB810_FULL,Montana P
IDS_PASB818,Alabama B
IDS_PASB818_FULL,Alabama B
IDS_PASB820,BA Montana
IDS_PASB820_FULL,BA Montana
IDS_PASB889,AL Kearsarge
IDS_PASB889_FULL,AL Kearsarge
IDS_PASB891,Maine +
IDS_PASB891_FULL,Maine +
IDS_PASB899,Volunteer State
IDS_PASB899_FULL,Volunteer State
IDS_PASB908,Kheper
IDS_PASB908_FULL,Kheper
IDS_PASB909,Bird Cry
IDS_PASB909_FULL,Bird Cry
IDS_PASB910,Connecticut
IDS_PASB910_FULL,Connecticut
IDS_PASB917,[Montana]
IDS_PASB917_FULL,[Montana]
IDS_PASB918,AL Massachusetts
IDS_PASB918_FULL,AL Massachusetts
IDS_PASB919,Iowa 2
IDS_PASB919_FULL,Iowa 2
IDS_PASB920,Montana 2
IDS_PASB920_FULL,Montana 2
IDS_PASB930,Rhode Island B
IDS_PASB930_FULL,Rhode Island B
IDS_PASB940,Wisconsin G
IDS_PASB940_FULL,Wisconsin Golden
IDS_PASB990,Utah
IDS_PASB990_FULL,Utah
IDS_PASB997,Colorado 2
IDS_PASB997_FULL,Colorado 2
IDS_PASB998,N. Carolina 2
IDS_PASB998_FULL,North Carolina 2
IDS_PASC001,Erie
IDS_PASC001_FULL,Erie
IDS_PASC002,Chester
IDS_PASC002_FULL,Chester
IDS_PASC003,Albany
IDS_PASC003_FULL,Albany
IDS_PASC004,St. Louis
IDS_PASC004_FULL,St. Louis
IDS_PASC005,Omaha
IDS_PASC005_FULL,Omaha
IDS_PASC006,Atlanta
IDS_PASC006_FULL,Atlanta
IDS_PASC007,Cleveland (old)
IDS_PASC007_FULL,Cleveland (< 31.05.2018)
IDS_PASC011,Jacksonville
IDS_PASC011_FULL,Jacksonville
IDS_PASC012,Pensacola (old)
IDS_PASC012_FULL,Pensacola (< 31.05.2018)
IDS_PASC014,New Orleans (old)
IDS_PASC014_FULL,New Orleans (< 31.05.2018)
IDS_PASC016,Worcester
IDS_PASC016_FULL,Worcester
IDS_PASC017,Baltimore (old)
IDS_PASC017_FULL,Baltimore (< 31.05.2018)
IDS_PASC019,Buffalo
IDS_PASC019_FULL,Buffalo
IDS_PASC020,Des Moines
IDS_PASC020_FULL,Des Moines
IDS_PASC024,Phoenix
IDS_PASC024_FULL,Phoenix
IDS_PASC039,Pensacola 1930
IDS_PASC039_FULL,Pensacola 1930
IDS_PASC044,Marblehead
IDS_PASC044_FULL,Marblehead
IDS_PASC045,Marblehead L
IDS_PASC045_FULL,Marblehead Lima
IDS_PASC106,Pensacola
IDS_PASC106_FULL,Pensacola
IDS_PASC107,New Orleans
IDS_PASC107_FULL,New Orleans
IDS_PASC108,Baltimore
IDS_PASC108_FULL,Baltimore
IDS_PASC109,Buffalo
IDS_PASC109_FULL,Buffalo
IDS_PASC111,Annapolis
IDS_PASC111_FULL,Annapolis
IDS_PASC206,Dallas
IDS_PASC206_FULL,Dallas
IDS_PASC207,Helena
IDS_PASC207_FULL,Helena
IDS_PASC208,Cleveland
IDS_PASC208_FULL,Cleveland
IDS_PASC209,Seattle
IDS_PASC209_FULL,Seattle
IDS_PASC210,Worcester
IDS_PASC210_FULL,Worcester
IDS_PASC503,Charleston
IDS_PASC503_FULL,Charleston
IDS_PASC505,Rattlehead
IDS_PASC505_FULL,Rattlehead
IDS_PASC507,Indianapolis
IDS_PASC507_FULL,Indianapolis
IDS_PASC508,Wichita
IDS_PASC508_FULL,Wichita
IDS_PASC509,Vallejo
IDS_PASC509_FULL,Vallejo
IDS_PASC510,Alaska
IDS_PASC510_FULL,Alaska
IDS_PASC518,Anchorage
IDS_PASC518_FULL,Anchorage
IDS_PASC519,Tulsa
IDS_PASC519_FULL,Tulsa
IDS_PASC528,Congress
IDS_PASC528_FULL,Congress
IDS_PASC538,Rochester
IDS_PASC538_FULL,Rochester
IDS_PASC548,San Diego
IDS_PASC548_FULL,San Diego
IDS_PASC587,Atlanta B
IDS_PASC587_FULL,Atlanta B
IDS_PASC597,Boise
IDS_PASC597_FULL,Boise
IDS_PASC599,Alaska B
IDS_PASC599_FULL,Alaska B
IDS_PASC610,Puerto Rico
IDS_PASC610_FULL,Puerto Rico
IDS_PASC707,Flint
IDS_PASC707_FULL,Flint
IDS_PASC708,Bridgeport
IDS_PASC708_FULL,Bridgeport
IDS_PASC710,Salem
IDS_PASC710_FULL,Salem
IDS_PASC718,AL Montpelier
IDS_PASC718_FULL,AL Montpelier
IDS_PASC719,Cambridge
IDS_PASC719_FULL,Cambridge
IDS_PASC720,Hawaii
IDS_PASC720_FULL,Hawaii
IDS_PASC728,Protector
IDS_PASC728_FULL,Protector
IDS_PASC729,Fort Worth
IDS_PASC729_FULL,Fort Worth
IDS_PASC802,Cimarron
IDS_PASC803,Cimarron
IDS_PASC804,Erie
IDS_PASC805,Erie
IDS_PASC810,Austin
IDS_PASC810_FULL,Austin
IDS_PASC891,Jacksonville +
IDS_PASC891_FULL,Jacksonville +
IDS_PASC909,Fort Worth G
IDS_PASC909_FULL,Fort Worth Golden
IDS_PASC910,Puerto Rico B
IDS_PASC910_FULL,Puerto Rico B
IDS_PASC920,Hawaii G
IDS_PASC920_FULL,Hawaii Golden
IDS_PASC998,[Cleveland]
IDS_PASC998_FULL,[Cleveland]
IDS_PASD002,Sampson
IDS_PASD002_FULL,Sampson
IDS_PASD005,Farragut
IDS_PASD005_FULL,Farragut
IDS_PASD006,Mahan
IDS_PASD006_FULL,Mahan
IDS_PASD008,Benson
IDS_PASD008_FULL,Benson
IDS_PASD013,Gearing
IDS_PASD013_FULL,Gearing
IDS_PASD014,Nicholas
IDS_PASD014_FULL,Nicholas
IDS_PASD019,Clemson
IDS_PASD019_FULL,Clemson
IDS_PASD021,Fletcher
IDS_PASD021_FULL,Fletcher
IDS_PASD027,Wickes
IDS_PASD027_FULL,Wickes
IDS_PASD029,Sims
IDS_PASD029_FULL,Sims
IDS_PASD037,Hughes
IDS_PASD037_FULL,Hughes
IDS_PASD038,Osborne
IDS_PASD038_FULL,Osborne
IDS_PASD039,Christopher
IDS_PASD039_FULL,Christopher
IDS_PASD040,Burrows
IDS_PASD040_FULL,Burrows
IDS_PASD111,J. Humphreys
IDS_PASD111_FULL,Joshua Humphreys
IDS_PASD502,Smith
IDS_PASD502_FULL,Smith
IDS_PASD505,Hill
IDS_PASD505_FULL,Hill
IDS_PASD506,Monaghan
IDS_PASD506_FULL,Monaghan
IDS_PASD508,Kidd
IDS_PASD508_FULL,Kidd
IDS_PASD509,Benham
IDS_PASD509_FULL,Benham
IDS_PASD510,Somers
IDS_PASD510_FULL,Somers
IDS_PASD519,Halford
IDS_PASD519_FULL,Halford
IDS_PASD529,Black B
IDS_PASD529_FULL,Black B
IDS_PASD597,Sims B
IDS_PASD597_FULL,Sims B
IDS_PASD610,F. Sherman
IDS_PASD610_FULL,Forrest Sherman
IDS_PASD704,DD 214
IDS_PASD704_FULL,DD 214
IDS_PASD709,Black
IDS_PASD709_FULL,Black
IDS_PASD710,Laffey
IDS_PASD710_FULL,Laffey
IDS_PASD719,Johnston
IDS_PASD719_FULL,Johnston
IDS_PASD720,Hull
IDS_PASD720_FULL,Hull
IDS_PASD801,Sampson
IDS_PASD810,Gearing P
IDS_PASD810_FULL,Gearing P
IDS_PASD819,GQ Johnny
IDS_PASD819_FULL,GQ Johnny
IDS_PASD891,J. Humphreys +
IDS_PASD891_FULL,Joshua Humphreys +
IDS_PASD899,Frank Friday
IDS_PASD899_FULL,Frank Friday
IDS_PASD913,[Gearing]
IDS_PASD913_FULL,[Gearing]
IDS_PASS106,Cachalot (old)
IDS_PASS106_FULL,Cachalot (< 04.10.2022)
IDS_PASS108,Salmon (old)
IDS_PASS108_FULL,Salmon (< 04.10.2022)
IDS_PASS110,Balao (old)
IDS_PASS110_FULL,Balao (< 04.10.2022)
IDS_PASS206,Cachalot
IDS_PASS206_FULL,Cachalot
IDS_PASS208,Salmon
IDS_PASS208_FULL,Salmon
IDS_PASS210,Balao
IDS_PASS210_FULL,Balao
IDS_PASS510,Gato
IDS_PASS510_FULL,Gato
IDS_PASS710,Archerfish
IDS_PASS710_FULL,Archerfish
IDS_PASS910,Balao 2
IDS_PASS910_FULL,Balao 2
IDS_PASX001,Cimarron
IDS_PASX001_FULL,Cimarron
IDS_PASX003,Liberty
IDS_PASX004,Atlas Node
IDS_PASX005,St. Clair
IDS_PASX005_FULL,Great Eastern
IDS_PASX006,Cimarron
IDS_PASX799,Narwhal
IDS_PASX815,Bogue
IDS_PASX904,Cimarron Test
IDS_PBSA106,Furious
IDS_PBSA106_FULL,Furious
IDS_PBSA108,Implacable
IDS_PBSA108_FULL,Implacable
IDS_PBSA111,Eagle
IDS_PBSA111_FULL,Eagle
IDS_PBSA204,Hermes
IDS_PBSA204_FULL,Hermes
IDS_PBSA210,Audacious
IDS_PBSA210_FULL,Audacious
IDS_PBSA508,Indomitable
IDS_PBSA508_FULL,Indomitable
IDS_PBSA510,Malta
IDS_PBSA510_FULL,Malta
IDS_PBSA518,Ark Royal
IDS_PBSA518_FULL,Ark Royal
IDS_PBSA528,Colossus
IDS_PBSA528_FULL,Colossus
IDS_PBSA710,Ocean
IDS_PBSA710_FULL,Ocean
IDS_PBSA718,Theseus
IDS_PBSA718_FULL,Theseus
IDS_PBSA910,[Audacious]
IDS_PBSA910_FULL,[Audacious]
IDS_PBSB002,Warspite
IDS_PBSB002_FULL,Warspite
IDS_PBSB103,Bellerophon
IDS_PBSB103_FULL,Bellerophon
IDS_PBSB104,Orion
IDS_PBSB104_FULL,Orion
IDS_PBSB105,Iron Duke
IDS_PBSB105_FULL,Iron Duke
IDS_PBSB106,Queen Elizabeth
IDS_PBSB106_FULL,Queen Elizabeth
IDS_PBSB107,King George V
IDS_PBSB107_FULL,King George V
IDS_PBSB108,Monarch
IDS_PBSB108_FULL,Monarch
IDS_PBSB109,Lion
IDS_PBSB109_FULL,Lion
IDS_PBSB110,Conqueror
IDS_PBSB110_FULL,Conqueror
IDS_PBSB111,Devastation
IDS_PBSB111_FULL,Devastation
IDS_PBSB203,Indefatigable
IDS_PBSB203_FULL,Indefatigable
IDS_PBSB204,Queen Mary
IDS_PBSB204_FULL,Queen Mary
IDS_PBSB205,Tiger
IDS_PBSB205_FULL,Tiger
IDS_PBSB206,Renown
IDS_PBSB206_FULL,Renown
IDS_PBSB207,Rooke
IDS_PBSB207_FULL,Rooke
IDS_PBSB208,Hawke
IDS_PBSB208_FULL,Hawke
IDS_PBSB209,Duncan
IDS_PBSB209_FULL,Duncan
IDS_PBSB210,St. Vincent
IDS_PBSB210_FULL,St. Vincent
IDS_PBSB503,Dreadnought
IDS_PBSB503_FULL,Dreadnought
IDS_PBSB505,Agincourt
IDS_PBSB505_FULL,Agincourt
IDS_PBSB507,Hood
IDS_PBSB507_FULL,Hood
IDS_PBSB508,Vanguard
IDS_PBSB508_FULL,Vanguard
IDS_PBSB509,Marlborough
IDS_PBSB509_FULL,Marlborough
IDS_PBSB510,Thunderer
IDS_PBSB510_FULL,Thunderer
IDS_PBSB517,Nelson
IDS_PBSB517_FULL,Nelson
IDS_PBSB526,Repulse
IDS_PBSB526_FULL,Repulse
IDS_PBSB527,Duke of York
IDS_PBSB527_FULL,Duke of York
IDS_PBSB536,Repulse B
IDS_PBSB536_FULL,Repulse B
IDS_PBSB537,Collingwood
IDS_PBSB537_FULL,Collingwood
IDS_PBSB547,Renown '44
IDS_PBSB547_FULL,Renown '44
IDS_PBSB609,S. Thunder
IDS_PBSB609_FULL,Scarlet Thunder
IDS_PBSB610,Incomparable
IDS_PBSB610_FULL,Incomparable
IDS_PBSB708,Prince of Wales
IDS_PBSB708_FULL,Prince of Wales
IDS_PBSB717,Rodney
IDS_PBSB717_FULL,Rodney
IDS_PBSB727,Duke of Bronte
IDS_PBSB727_FULL,Duke of Bronte
IDS_PBSB737,Royal Sovereign
IDS_PBSB737_FULL,Royal Sovereign
IDS_PBSB747,Danu
IDS_PBSB747_FULL,Danu
IDS_PBSB810,Cumberland
IDS_PBSB810_FULL,Cumberland
IDS_PBSB910,[Conqueror]
IDS_PBSB910_FULL,[Conqueror]
IDS_PBSB911,Conqueror
IDS_PBSB911_FULL,Conqueror
IDS_PBSB998,St. Lawrence
IDS_PBSB998_FULL,St. Lawrence
IDS_PBSC020,Monmouth
IDS_PBSC020_FULL,Monmouth
IDS_PBSC101,Black Swan
IDS_PBSC101_FULL,Black Swan
IDS_PBSC102,Weymouth
IDS_PBSC102_FULL,Weymouth
IDS_PBSC103,Caledon
IDS_PBSC103_FULL,Caledon
IDS_PBSC104,Danae
IDS_PBSC104_FULL,Danae
IDS_PBSC105,Emerald
IDS_PBSC105_FULL,Emerald
IDS_PBSC106,Leander
IDS_PBSC106_FULL,Leander
IDS_PBSC107,Fiji
IDS_PBSC107_FULL,Fiji
IDS_PBSC108,Edinburgh
IDS_PBSC108_FULL,Edinburgh
IDS_PBSC109,Neptune
IDS_PBSC109_FULL,Neptune
IDS_PBSC110,Minotaur
IDS_PBSC110_FULL,Minotaur
IDS_PBSC111,Edgar
IDS_PBSC111_FULL,Edgar
IDS_PBSC205,Hawkins
IDS_PBSC205_FULL,Hawkins
IDS_PBSC206,Devonshire
IDS_PBSC206_FULL,Devonshire
IDS_PBSC207,Surrey
IDS_PBSC207_FULL,Surrey
IDS_PBSC208,Albemarle
IDS_PBSC208_FULL,Albemarle
IDS_PBSC209,Drake
IDS_PBSC209_FULL,Drake
IDS_PBSC210,Goliath
IDS_PBSC210_FULL,Goliath
IDS_PBSC505,Exeter
IDS_PBSC505_FULL,Exeter
IDS_PBSC507,Belfast
IDS_PBSC507_FULL,Belfast
IDS_PBSC508,Cheshire
IDS_PBSC508_FULL,Cheshire
IDS_PBSC510,Plymouth
IDS_PBSC510_FULL,Plymouth
IDS_PBSC516,London
IDS_PBSC516_FULL,London
IDS_PBSC518,Tiger '59
IDS_PBSC518_FULL,Tiger '59
IDS_PBSC526,Dido
IDS_PBSC526_FULL,Dido
IDS_PBSC528,Belfast '43
IDS_PBSC528_FULL,Belfast '43
IDS_PBSC538,Hampshire
IDS_PBSC538_FULL,Hampshire
IDS_PBSC548,Nottingham
IDS_PBSC548_FULL,Nottingham
IDS_PBSC558,AL Cheshire
IDS_PBSC558_FULL,AL Cheshire
IDS_PBSC610,Gibraltar
IDS_PBSC610_FULL,Gibraltar
IDS_PBSC707,Bóinn
IDS_PBSC707_FULL,Bóinn
IDS_PBSC708,Sinann
IDS_PBSC708_FULL,Sinann
IDS_PBSC716,Orion '44
IDS_PBSC716_FULL,Orion '44
IDS_PBSC718,Érne
IDS_PBSC718_FULL,Érne
IDS_PBSC719,Aberdeen
IDS_PBSC719_FULL,Aberdeen
IDS_PBSC810,Defence
IDS_PBSC810_FULL,Defence
IDS_PBSC888,STAR Edinburgh
IDS_PBSC888_FULL,STAR Edinburgh
IDS_PBSC909,Cursed Fang
IDS_PBSC909_FULL,Cursed Fang
IDS_PBSC910,Cyclops
IDS_PBSC910_FULL,Cyclops
IDS_PBSC920,Fearmaw
IDS_PBSC920_FULL,Fearmaw
IDS_PBSD102,Medea
IDS_PBSD102_FULL,Medea
IDS_PBSD103,Valkyrie
IDS_PBSD103_FULL,Valkyrie
IDS_PBSD104,Wakeful
IDS_PBSD104_FULL,Wakeful
IDS_PBSD105,Acasta
IDS_PBSD105_FULL,Acasta
IDS_PBSD106,Icarus
IDS_PBSD106_FULL,Icarus
IDS_PBSD107,Jervis
IDS_PBSD107_FULL,Jervis
IDS_PBSD108,Lightning
IDS_PBSD108_FULL,Lightning
IDS_PBSD109,Jutland
IDS_PBSD109_FULL,Jutland
IDS_PBSD110,Daring
IDS_PBSD110_FULL,Daring
IDS_PBSD503,Campbeltown
IDS_PBSD503_FULL,Campbeltown
IDS_PBSD506,Gallant
IDS_PBSD506_FULL,Gallant
IDS_PBSD510,Druid
IDS_PBSD510_FULL,Druid
IDS_PBSD517,Cossack
IDS_PBSD517_FULL,Cossack
IDS_PBSD519,Somme
IDS_PBSD519_FULL,Somme
IDS_PBSD598,Cossack B
IDS_PBSD598_FULL,Cossack B
IDS_PBSD605,Anthony
IDS_PBSD605_FULL,Anthony
IDS_PBSD717,Jupiter '42
IDS_PBSD717_FULL,Jupiter '42
IDS_PBSD718,Eskimo
IDS_PBSD718_FULL,Eskimo
IDS_PBSD719,Barfleur
IDS_PBSD719_FULL,Barfleur
IDS_PBSS106,Undine
IDS_PBSS106_FULL,Undine
IDS_PBSS108,Sturdy
IDS_PBSS108_FULL,Sturdy
IDS_PBSS110,Thrasher
IDS_PBSS110_FULL,Thrasher
IDS_PBSS508,Alliance
IDS_PBSS508_FULL,Alliance
IDS_PBSS710,Seal
IDS_PBSS710_FULL,Seal
IDS_PBSS910,Selkie
IDS_PBSS910_FULL,Selkie
IDS_PFSA506,Béarn
IDS_PFSA506_FULL,Béarn
IDS_PFSB103,Turenne
IDS_PFSB103_FULL,Turenne
IDS_PFSB104,Courbet
IDS_PFSB104_FULL,Courbet
IDS_PFSB105,Bretagne
IDS_PFSB105_FULL,Bretagne
IDS_PFSB106,Normandie
IDS_PFSB106_FULL,Normandie
IDS_PFSB107,Lyon
IDS_PFSB107_FULL,Lyon
IDS_PFSB108,Richelieu
IDS_PFSB108_FULL,Richelieu
IDS_PFSB109,Alsace
IDS_PFSB109_FULL,Alsace
IDS_PFSB110,République
IDS_PFSB110_FULL,République
IDS_PFSB111,Patrie
IDS_PFSB111_FULL,Patrie
IDS_PFSB506,Dunkerque
IDS_PFSB506_FULL,Dunkerque
IDS_PFSB507,Strasbourg
IDS_PFSB507_FULL,Strasbourg
IDS_PFSB508,Gascogne
IDS_PFSB508_FULL,Gascogne
IDS_PFSB510,Bourgogne
IDS_PFSB510_FULL,Bourgogne
IDS_PFSB518,Jean Bart
IDS_PFSB518_FULL,Jean Bart
IDS_PFSB528,Champagne
IDS_PFSB528_FULL,Champagne
IDS_PFSB538,Flandre
IDS_PFSB538_FULL,Flandre
IDS_PFSB548,Picardie
IDS_PFSB548_FULL,Picardie
IDS_PFSB596,Dunkerque B
IDS_PFSB596_FULL,Dunkerque B
IDS_PFSB599,Jean Bart B
IDS_PFSB599_FULL,Jean Bart B
IDS_PFSB709,Roussillon
IDS_PFSB709_FULL,Roussillon
IDS_PFSB898,[Richelieu]
IDS_PFSB898_FULL,[Richelieu]
IDS_PFSB908,AL Richelieu
IDS_PFSB908_FULL,AL Richelieu
IDS_PFSB909,Dark Corsair
IDS_PFSB909_FULL,Dark Corsair
IDS_PFSC101,Bougainville
IDS_PFSC101_FULL,Bougainville
IDS_PFSC102,Jurien
IDS_PFSC102_FULL,Jurien de la Gravière
IDS_PFSC103,Friant
IDS_PFSC103_FULL,Friant
IDS_PFSC104,Duguay-Trouin
IDS_PFSC104_FULL,Duguay-Trouin
IDS_PFSC105,Émile Bertin
IDS_PFSC105_FULL,Émile Bertin
IDS_PFSC106,La Galissonnière
IDS_PFSC106_FULL,La Galissonnière
IDS_PFSC107,Algérie
IDS_PFSC107_FULL,Algérie
IDS_PFSC108,Charles Martel
IDS_PFSC108_FULL,Charles Martel
IDS_PFSC109,Saint-Louis
IDS_PFSC109_FULL,Saint-Louis
IDS_PFSC110,Henri IV
IDS_PFSC110_FULL,Henri IV
IDS_PFSC111,Condé
IDS_PFSC111_FULL,Condé
IDS_PFSC208,Cherbourg
IDS_PFSC208_FULL,Cherbourg
IDS_PFSC209,Brest
IDS_PFSC209_FULL,Brest
IDS_PFSC210,Marseille
IDS_PFSC210_FULL,Marseille
IDS_PFSC506,De Grasse
IDS_PFSC506_FULL,De Grasse
IDS_PFSC507,Toulon
IDS_PFSC507_FULL,Toulon
IDS_PFSC508,Bayard
IDS_PFSC508_FULL,Bayard
IDS_PFSC509,Carnot
IDS_PFSC509_FULL,Carnot
IDS_PFSC510,Colbert
IDS_PFSC510_FULL,Colbert
IDS_PFSC516,Dupleix
IDS_PFSC516_FULL,Dupleix
IDS_PFSC518,Jean Bart
IDS_PFSC518_FULL,Jean Bart
IDS_PFSC708,Metz
IDS_PFSC708_FULL,Metz
IDS_PFSC710,Brennus
IDS_PFSC710_FULL,Brennus
IDS_PFSC716,Montcalm
IDS_PFSC716_FULL,Montcalm
IDS_PFSC719,Le Havre
IDS_PFSC719_FULL,Le Havre
IDS_PFSC730,Amiral Lartigue
IDS_PFSC730_FULL,Amiral Lartigue
IDS_PFSC810,Brennus
IDS_PFSC810_FULL,Brennus
IDS_PFSC819,BA Utnapishtim...
IDS_PFSC819_FULL,BA Utnapishtim's Ship
IDS_PFSC896,[La Galissonnière]
IDS_PFSC896_FULL,[La Galissonnière]
IDS_PFSD010,Cassard
IDS_PFSD010_FULL,Cassard
IDS_PFSD015,L'Adroit
IDS_PFSD015_FULL,L'Adroit
IDS_PFSD016,Duchaffault
IDS_PFSD016_FULL,Duchaffault
IDS_PFSD017,Le Hardi
IDS_PFSD017_FULL,Le Hardi
IDS_PFSD018,L'Aventurier
IDS_PFSD018_FULL,L'Aventurier
IDS_PFSD019,Orage
IDS_PFSD019_FULL,Orage
IDS_PFSD102,En. Gabolde
IDS_PFSD102_FULL,Enseigne Gabolde
IDS_PFSD103,Fusilier
IDS_PFSD103_FULL,Fusilier
IDS_PFSD104,Bourrasque
IDS_PFSD104_FULL,Bourrasque
IDS_PFSD105,Jaguar
IDS_PFSD105_FULL,Jaguar
IDS_PFSD106,Guépard
IDS_PFSD106_FULL,Guépard
IDS_PFSD107,Vauquelin
IDS_PFSD107_FULL,Vauquelin
IDS_PFSD108,Le Fantasque
IDS_PFSD108_FULL,Le Fantasque
IDS_PFSD109,Mogador
IDS_PFSD109_FULL,Mogador
IDS_PFSD110,Kléber
IDS_PFSD110_FULL,Kléber
IDS_PFSD210,Marceau
IDS_PFSD210_FULL,Marceau
IDS_PFSD504,Siroco
IDS_PFSD504_FULL,Siroco
IDS_PFSD506,Aigle
IDS_PFSD506_FULL,Aigle
IDS_PFSD508,Le Terrible
IDS_PFSD508_FULL,Le Terrible
IDS_PFSD605,Cyclone
IDS_PFSD605_FULL,Cyclone
IDS_PFSD710,Châteaurenault
IDS_PFSD710_FULL,Châteaurenault
IDS_PFSD718,Hoche
IDS_PFSD718_FULL,Hoche
IDS_PFSD808,L'Effronté
IDS_PFSD808_FULL,L'Effronté
IDS_PFSD810,Kléber CLR
IDS_PFSD810_FULL,Kléber CLR
IDS_PFSD820,Kléber TE
IDS_PFSD820_FULL,Kléber TE
IDS_PFSD895,Vent
IDS_PFSD895_FULL,Vent
IDS_PFSS710,Surcouf
IDS_PFSS710_FULL,Surcouf
IDS_PGSA104,Rhein
IDS_PGSA104_FULL,Rhein
IDS_PGSA106,Weser
IDS_PGSA106_FULL,Weser
IDS_PGSA108,A. Parseval
IDS_PGSA108_FULL,August von Parseval
IDS_PGSA110,M. Richthofen
